地址,行政区,街道,总户数,lng,lat
海波花苑,徐汇,龙华,1417,121.45622002324095,31.176083861286717
文翔名苑(公寓),松江,松江大学城,1416,121.19853219447921,31.05233666408143
古美西路316弄,闵行,古美罗阳,1412,121.40266951653572,31.140384002327078
新月明珠园,宝山,月浦,1408,121.40565368743987,31.45222969338344
浦航新城中城苑,闵行,浦江镇,1406,121.55066948150994,31.060900092329348
九峰小区,松江,松江老城,1404,121.25695600857607,31.016892862095013
华润置地橡树湾,杨浦,新江湾城,1404,121.52718930259847,31.342775972053747
嘉富小区,嘉定,嘉定城区,1398,121.26231871280952,31.401507555195458
嘉秀新苑,嘉定,丰庄,1397,121.37354276884966,31.26138304578088
好日子大家园A区,宝山,顾村,1388,121.3715974882678,31.35843875147573
华浜二村,宝山,淞南,1387,121.50627603168178,31.352021322530206
尚海湾豪庭,徐汇,徐汇滨江,1384,121.46552844459644,31.185112551588933
远香舫嘉苑,嘉定,嘉定城区,1384,121.2691547279099,31.36581944658075
融创精彩天地,浦东,金桥,1381,121.6042870018062,31.282420854765352
灵新小区,虹口,江湾凉城,1376,121.48592536950599,31.293964843729903
巴林小区,虹口,曲阳,1374,121.50259640394353,31.292915387253956
玉兰二村,嘉定,安亭,1374,121.17049024052699,31.300022409592273
南山雨果(公寓),青浦,沪青平,1373,121.27702298587181,31.1663688765891
周家湾小区,徐汇,龙华,1372,121.45723690507825,31.177387442968417
永乐苑,静安,大宁,1370,121.45323953538939,31.271906709242238
泰顺佳苑,奉贤,奉城,1365,121.66403509788586,30.915598585107194
绿洲丰怡园,嘉定,嘉定北部,1364,121.2395444223678,31.37559325485017
风荷丽景尚城(西区),嘉定,嘉定新城,1360,121.26619418244067,31.34874818096869
思浦小区,浦东,三林,1355,121.54796162938067,31.19831610934011
延吉五村,杨浦,黄兴公园,1354,121.54406612753664,31.296850579342138
明日星城,黄浦,董家渡,1353,121.50100306816879,31.220242372528652
徐汇苑,徐汇,龙华,1352,121.45076712913428,31.18404410101073
江南星城二期(顾戴路1325弄),闵行,古美罗阳,1350,121.39154463160851,31.141337973650376
练祁佳城星怡苑,嘉定,嘉定北部,1345,121.2255390309923,31.37638088963598
宝钢一村,宝山,淞宝,1345,121.49396035297055,31.41068065686441
金鹏花园,杨浦,控江,1344,121.53284440527545,31.27264305971722
丰水宝邸东苑,宝山,顾村,1341,121.40197916875131,31.36287540992189
中怡家园,宝山,顾村,1340,121.38273207489452,31.361952989667753
玉兰三村,嘉定,安亭,1338,121.16672310654035,31.305495140763924
爱法新城,浦东,金桥,1336,121.60684214199877,31.262268107936638
美罗家园宝欣苑二村,宝山,罗店,1335,121.3458891228331,31.392999237486997
